col,level,n,frauds,rate,lift,ci_lo,ci_hi,p,q_bh
V6CF,other,2438,63,0.025840853158326498,0.904736325365662,0.020249645212373643,0.032923992258623656,0.46537598618910725,0.9347273374503756
ConnectionSpeed,unknown,5004,151,0.03017585931254996,1.0565129526457058,0.02578445030812813,0.03528808840795267,0.49693327706095314,0.9347273374503756
channel,SOA,71956,2085,0.02897604091389182,1.0145050792037138,0.02777533801833952,0.030227035349864213,0.5019515796085073,0.9347273374503756
ConnectionOrg,cantv servicios venezuela,520,17,0.032692307692307694,1.1446184902657273,0.02050983334720595,0.051728797567177326,0.5110584856242715,0.9347273374503756
Region,unknown,4782,144,0.030112923462986198,1.0543094515105378,0.02563355426345196,0.03534665034674658,0.514775889653054,0.9347273374503756
ConnectionOrg,t-mobile usa inc.,6233,169,0.02711374939836355,0.9493027899373554,0.023363637853134438,0.03144641215679366,0.5180370944495896,0.9347273374503756
channel,KOL,40620,1138,0.028015755785327424,0.9808837110082642,0.02645505919085388,0.02966571890906861,0.5218770619213866,0.9347273374503756
V6CF,edu,2803,74,0.026400285408490903,0.9243230888213299,0.021081978811173303,0.03301498198632948,0.5327669521009593,0.9347273374503756
webSessWebBrowser,Chrome Mobile iOS,594,14,0.02356902356902357,0.8251953465175772,0.014090436364161293,0.03917049429037997,0.5386058997024714,0.9347273374503756
State,oregon,1197,30,0.02506265664160401,0.8774902181013978,0.017611143271213624,0.035552904343392665,0.5430102421947764,0.9347273374503756
webSessWebBrowser,Mobile Safari,16886,495,0.029314224801610802,1.0263455260340908,0.026875003210837436,0.03196756165963476,0.548106874407427,0.9347273374503756
State,minnesota,401,9,0.022443890274314215,0.7858023374568878,0.011851708457237547,0.042099268912677,0.5499220635268778,0.9347273374503756
webSessWebBrowser,Opera,252,5,0.01984126984126984,0.69467975599694,0.008503930426446045,0.045598295325738114,0.5677851648791941,0.9347273374503756
State,florida,8239,226,0.027430513411821823,0.9603932871352767,0.0241177821495255,0.031183729406877574,0.5738684824036385,0.9347273374503756
V6CF,com.mx,263,9,0.034220532319391636,1.1981244765027073,0.018105895346679998,0.06374640954131347,0.5748501750578427,0.9347273374503756
webSessOS,Windows Vista,724,23,0.031767955801104975,1.112255211535432,0.02126031467833158,0.0472183213325807,0.5761451703762908,0.9347273374503756
State,none,268,9,0.033582089552238806,1.1757714079112387,0.01776620604120164,0.06258058414837936,0.5796272473171176,0.9347273374503756
ConnectionType,fixed wireless,736,18,0.024456521739130436,0.8562683079353587,0.015524842044322631,0.0383266850933782,0.580215340178938,0.9347273374503756
State,distrito capital,755,24,0.031788079470198675,1.1129597786144352,0.02145292996307302,0.04686383074166431,0.5837128154188167,0.9347273374503756
ConnectionOrg,psinet inc.,1513,39,0.025776602775941838,0.9024867999917946,0.018912752623543548,0.03504251864538789,0.5885904720708683,0.9347273374503756
webSessOS,Windows 8,503,16,0.03180914512922465,1.1136973265127879,0.019672740445670085,0.051042844068308245,0.5929240573379249,0.9347273374503756
ConnectionOrg,embarq corporation,328,7,0.021341463414634148,0.7472043229137818,0.010375299488052662,0.04339011147910757,0.6162024011630092,0.9513619798809388
ConnectionType,tx,23384,680,0.029079712624016422,1.0181348185736883,0.027002160792063513,0.031311967690831645,0.6236259653920013,0.9513619798809388
State,tennessee,345,11,0.03188405797101449,1.1163201644194305,0.017894933277228173,0.056183387656972325,0.6281941945791814,0.9513619798809388
State,missouri,356,8,0.02247191011235955,0.7867833640954106,0.011429764348949108,0.043710052726119476,0.6318747478313698,0.9513619798809388
webSessWebBrowser,Firefox,10944,320,0.029239766081871343,1.023738587784964,0.026244652017485645,0.03256525988332227,0.6668369161260683,0.9760253024528501
ConnectionSpeed,high,26061,733,0.02812631902075899,0.9847547354954205,0.026187465724746395,0.030204267728182015,0.6961574332849461,0.9760253024528501
V6CF,unknown,17335,486,0.028035765791750794,0.9815842985458002,0.02568098452458339,0.030599684190909106,0.6983181149716172,0.9760253024528501
V6CF,gov,549,17,0.030965391621129327,1.084155947064077,0.019421495341335183,0.0490277675216621,0.6998338612980843,0.9760253024528501
webSessOS,Windows 7,35012,1012,0.02890437564263681,1.01199594478101,0.027200462573342046,0.030711656837204986,0.7002082457212806,0.9760253024528501
State,louisiana,1526,46,0.03014416775884666,1.0554033724136997,0.0226750038130555,0.039973050730630594,0.7003904233402787,0.9760253024528501
ConnectionOrg,cox communications,3253,96,0.02951122041192745,1.0332427087044558,0.024227469218233953,0.0359048995159409,0.7126696973735973,0.9760253024528501
State,texas,13293,372,0.02798465357707064,0.9797947648563476,0.02531435229404953,0.030927695441557105,0.7154659733438018,0.9760253024528501
State,greater london,303,7,0.0231023102310231,0.8088548446063379,0.01123472098327646,0.04691124097233841,0.7293590447109699,0.9760253024528501
Region,london,303,7,0.0231023102310231,0.8088548446063379,0.01123472098327646,0.04691124097233841,0.7293590447109699,0.9760253024528501
ConnectionSpeed,low,14860,431,0.029004037685060564,1.0154852982279898,0.026425106676277507,0.03182642905052948,0.7303163013289476,0.9760253024528501
webSessOS,Mac OS X,28541,805,0.02820503836585964,0.9875108461619372,0.026346857330175312,0.030190208897580527,0.7356608622965513,0.9760253024528501
Country,ve,829,25,0.030156815440289506,1.0558461912619352,0.020508597570845354,0.044139469960843745,0.7539514685608808,0.9860306783338115
State,new jersey,4659,129,0.027688345138441726,0.9694204553744806,0.02335184483348943,0.03280309725161164,0.7582096124761933,0.9860306783338115
webSessOS,Linux,414,10,0.024154589371980676,0.8456970942571443,0.013172040360164651,0.04388690255025882,0.766707001107374,0.9860306783338115
webSessOS,Chrome OS,1029,27,0.026239067055393587,0.9186785344612595,0.01809467632759124,0.03790771552029715,0.7783884855079175,0.9860306783338115
channel,K45,25987,734,0.028244891676607535,0.9889061846865125,0.026299251852314375,0.030329987887271433,0.779994417189433,0.9860306783338115
ConnectionOrg,frontier communications corporation,1999,59,0.029514757378689346,1.0333665444884947,0.02295025553321078,0.03788411099882051,0.7880383596081669,0.9868891606307886
webSessWebBrowser,Edge,5813,169,0.029072767933941167,1.0178916720590978,0.02505492857799476,0.0337126335299368,0.8131800755070551,1.0
ConnectionType,ocx,2885,84,0.029116117850953208,1.0194094332716275,0.023579221427401657,0.03590538305904717,0.8231640681551582,1.0
Region,south central,15596,440,0.028212362144139524,0.9877672652595628,0.025727575554454662,0.030929512553414338,0.828706550729982,1.0
State,virginia,934,25,0.02676659528907923,0.9371482789680347,0.01819484569533402,0.03921527558740712,0.8440896313703585,1.0
Region,pacific northwest,4267,119,0.027888446215139442,0.9764263661980893,0.02335667237549685,0.03326954387190507,0.8540799706040754,1.0
Region,southeast,14858,420,0.028267599946156952,0.9897012434340574,0.02572211432070523,0.031056959411314623,0.8631162798660796,1.0
ConnectionOrg,rcn,1261,37,0.029341792228390166,1.0273107129128418,0.021361395059630917,0.04018117280024972,0.8654784655545296,1.0
State,ohio,4035,113,0.028004956629491946,0.9805056124792497,0.02334578257372396,0.03356201990112427,0.8872181270207586,1.0
State,georgia,4658,131,0.028123658222413053,0.9846615759970366,0.023750703919889676,0.03327431383275124,0.8950441207968511,1.0
ConnectionType,mobile wireless,14509,411,0.028327245158177684,0.991789533229238,0.025749969315728625,0.031154227860929046,0.9008223984627778,1.0
State,north carolina,596,16,0.026845637583892617,0.9399156967045845,0.01659071030907676,0.043161064159382916,0.9023140307617084,1.0
ConnectionOrg,suddenlink communications,620,18,0.02903225806451613,1.0164733461942321,0.018441701764172643,0.04542322805134462,0.9037997244842417,1.0
ConnectionOrg,zscaler inc.,718,21,0.02924791086350975,1.0240237517369934,0.019208119190858602,0.04429833430253939,0.9104861148727417,1.0
State,washington,2894,81,0.027988942639944715,0.9799449329239488,0.0225766874573997,0.03465266558936449,0.9111178757384034,1.0
ConnectionType,cable,70047,1996,0.02849515325424358,0.9976683079315684,0.027288606971619854,0.029753414347935568,0.9277038196490539,1.0
ConnectionSpeed,medium,92827,2648,0.028526183114826506,0.998754721056878,0.02747462026423917,0.029616767777211048,0.960710458223319,1.0
State,arizona,4139,117,0.028267697511476203,0.9897046593773269,0.02363929846405519,0.033770958302701236,0.9627733791270959,1.0
